# layer_id eta phi delta_eta delta_phi rmin rmax
L 3 -1.0 1.0 40 -3.11704896 3.11704896 254 1926.0 1980.0
C 3 -0.975 1.53398079 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi189 0 189
C 3 -0.975 1.55852448 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi190 0 190
C 3 -0.975 1.58306817 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi191 0 191
C 3 -0.975 1.60761187 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi192 0 192
C 3 -0.975 1.63215556 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi193 0 193
C 3 -0.975 1.65669925 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi194 0 194
C 3 -0.975 1.68124294 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi195 0 195
C 3 -0.975 1.70578664 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi196 0 196
C 3 -0.975 1.73033033 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi197 0 197
C 3 -0.975 1.75487402 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi198 0 198
C 3 -0.975 1.77941771 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi199 0 199
C 3 -0.975 1.80396141 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi200 0 200
C 3 -0.975 1.8285051 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi201 0 201
C 3 -0.975 1.85304879 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi202 0 202
C 3 -0.975 1.87759248 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi203 0 203
C 3 -0.975 1.90213618 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi204 0 204
C 3 -0.975 1.92667987 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi205 0 205
C 3 -0.975 1.95122356 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi206 0 206
C 3 -0.975 1.97576725 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi207 0 207
C 3 -0.975 2.00031095 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi208 0 208
C 3 -0.975 2.02485464 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi209 0 209
C 3 -0.975 2.04939833 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi210 0 210
