# layer_id eta phi delta_eta delta_phi rmin rmax
L 4 -0.8 0.8 16 -3.14159265 3.14159265 64 2280 2680
C 4 -0.65 0.44178647 0.1 0.09817477 2280 2680 layer4_eta1_phi36 1 36
C 4 -0.65 0.53996124 0.1 0.09817477 2280 2680 layer4_eta1_phi37 1 37
C 4 -0.65 0.63813601 0.1 0.09817477 2280 2680 layer4_eta1_phi38 1 38
C 4 -0.65 0.73631078 0.1 0.09817477 2280 2680 layer4_eta1_phi39 1 39
C 4 -0.65 0.83448555 0.1 0.09817477 2280 2680 layer4_eta1_phi40 1 40
C 4 -0.65 0.93266032 0.1 0.09817477 2280 2680 layer4_eta1_phi41 1 41
C 4 -0.65 1.03083509 0.1 0.09817477 2280 2680 layer4_eta1_phi42 1 42
C 4 -0.65 1.12900986 0.1 0.09817477 2280 2680 layer4_eta1_phi43 1 43
C 4 -0.65 1.22718463 0.1 0.09817477 2280 2680 layer4_eta1_phi44 1 44
C 4 -0.65 1.3253594 0.1 0.09817477 2280 2680 layer4_eta1_phi45 1 45
C 4 -0.65 1.42353417 0.1 0.09817477 2280 2680 layer4_eta1_phi46 1 46
C 4 -0.65 1.52170894 0.1 0.09817477 2280 2680 layer4_eta1_phi47 1 47
C 4 -0.65 1.61988371 0.1 0.09817477 2280 2680 layer4_eta1_phi48 1 48
C 4 -0.65 1.71805848 0.1 0.09817477 2280 2680 layer4_eta1_phi49 1 49
C 4 -0.65 1.81623325 0.1 0.09817477 2280 2680 layer4_eta1_phi50 1 50
C 4 -0.65 1.91440802 0.1 0.09817477 2280 2680 layer4_eta1_phi51 1 51
C 4 -0.65 2.01258279 0.1 0.09817477 2280 2680 layer4_eta1_phi52 1 52
C 4 -0.65 2.11075756 0.1 0.09817477 2280 2680 layer4_eta1_phi53 1 53
C 4 -0.65 2.20893233 0.1 0.09817477 2280 2680 layer4_eta1_phi54 1 54
C 4 -0.65 2.3071071 0.1 0.09817477 2280 2680 layer4_eta1_phi55 1 55
C 4 -0.65 2.40528188 0.1 0.09817477 2280 2680 layer4_eta1_phi56 1 56
C 4 -0.65 2.50345665 0.1 0.09817477 2280 2680 layer4_eta1_phi57 1 57
C 4 -0.65 2.60163142 0.1 0.09817477 2280 2680 layer4_eta1_phi58 1 58
C 4 -0.65 2.69980619 0.1 0.09817477 2280 2680 layer4_eta1_phi59 1 59
C 4 -0.65 2.79798096 0.1 0.09817477 2280 2680 layer4_eta1_phi60 1 60
