# layer_id eta phi delta_eta delta_phi rmin rmax
L 1 -1.196 1.196 736 -3.14159265 3.14159265 64 1500 1596.0
C 1 -1.194375 2.89615573 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi61 0 61
C 1 -1.194375 2.9943305 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi62 0 62
C 1 -1.194375 3.09250527 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi63 0 63
C 1 -1.191125 -3.09250527 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi0 1 0
C 1 -1.191125 -2.9943305 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi1 1 1
C 1 -1.191125 -2.89615573 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi2 1 2
C 1 -1.191125 -2.79798096 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi3 1 3
C 1 -1.191125 -2.69980619 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi4 1 4
C 1 -1.191125 -2.60163142 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi5 1 5
C 1 -1.191125 -2.50345665 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi6 1 6
C 1 -1.191125 -2.40528188 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi7 1 7
C 1 -1.191125 -2.3071071 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi8 1 8
C 1 -1.191125 -2.20893233 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi9 1 9
C 1 -1.191125 -2.11075756 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi10 1 10
C 1 -1.191125 -2.01258279 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi11 1 11
C 1 -1.191125 -1.91440802 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi12 1 12
C 1 -1.191125 -1.81623325 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi13 1 13
C 1 -1.191125 -1.71805848 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi14 1 14
C 1 -1.191125 -1.61988371 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi15 1 15
C 1 -1.191125 -1.52170894 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi16 1 16
C 1 -1.191125 -1.42353417 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi17 1 17
C 1 -1.191125 -1.3253594 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi18 1 18
C 1 -1.191125 -1.22718463 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi19 1 19
C 1 -1.191125 -1.12900986 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi20 1 20
C 1 -1.191125 -1.03083509 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi21 1 21
C 1 -1.191125 -0.93266032 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi22 1 22
C 1 -1.191125 -0.83448555 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi23 1 23
C 1 -1.191125 -0.73631078 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi24 1 24
C 1 -1.191125 -0.63813601 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi25 1 25
C 1 -1.191125 -0.53996124 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi26 1 26
C 1 -1.191125 -0.44178647 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi27 1 27
C 1 -1.191125 -0.3436117 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi28 1 28
C 1 -1.191125 -0.24543693 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi29 1 29
C 1 -1.191125 -0.14726216 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi30 1 30
C 1 -1.191125 -0.04908739 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi31 1 31
C 1 -1.191125 0.04908739 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi32 1 32
C 1 -1.191125 0.14726216 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi33 1 33
C 1 -1.191125 0.24543693 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi34 1 34
C 1 -1.191125 0.3436117 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi35 1 35
C 1 -1.191125 0.44178647 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi36 1 36
C 1 -1.191125 0.53996124 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi37 1 37
C 1 -1.191125 0.63813601 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi38 1 38
C 1 -1.191125 0.73631078 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi39 1 39
C 1 -1.191125 0.83448555 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi40 1 40
C 1 -1.191125 0.93266032 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi41 1 41
C 1 -1.191125 1.03083509 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi42 1 42
C 1 -1.191125 1.12900986 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi43 1 43
C 1 -1.191125 1.22718463 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi44 1 44
C 1 -1.191125 1.3253594 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi45 1 45
C 1 -1.191125 1.42353417 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi46 1 46
C 1 -1.191125 1.52170894 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi47 1 47
C 1 -1.191125 1.61988371 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi48 1 48
C 1 -1.191125 1.71805848 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi49 1 49
C 1 -1.191125 1.81623325 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi50 1 50
C 1 -1.191125 1.91440802 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi51 1 51
C 1 -1.191125 2.01258279 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi52 1 52
C 1 -1.191125 2.11075756 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi53 1 53
C 1 -1.191125 2.20893233 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi54 1 54
C 1 -1.191125 2.3071071 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi55 1 55
C 1 -1.191125 2.40528188 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi56 1 56
C 1 -1.191125 2.50345665 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi57 1 57
C 1 -1.191125 2.60163142 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi58 1 58
C 1 -1.191125 2.69980619 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi59 1 59
C 1 -1.191125 2.79798096 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi60 1 60
C 1 -1.191125 2.89615573 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi61 1 61
C 1 -1.191125 2.9943305 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi62 1 62
C 1 -1.191125 3.09250527 0.00325 0.09817477 1500 1596.0 layer1_eta1_phi63 1 63
C 1 -1.187875 -3.09250527 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi0 2 0
C 1 -1.187875 -2.9943305 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi1 2 1
C 1 -1.187875 -2.89615573 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi2 2 2
C 1 -1.187875 -2.79798096 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi3 2 3
C 1 -1.187875 -2.69980619 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi4 2 4
C 1 -1.187875 -2.60163142 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi5 2 5
C 1 -1.187875 -2.50345665 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi6 2 6
C 1 -1.187875 -2.40528188 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi7 2 7
C 1 -1.187875 -2.3071071 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi8 2 8
C 1 -1.187875 -2.20893233 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi9 2 9
C 1 -1.187875 -2.11075756 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi10 2 10
C 1 -1.187875 -2.01258279 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi11 2 11
C 1 -1.187875 -1.91440802 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi12 2 12
C 1 -1.187875 -1.81623325 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi13 2 13
C 1 -1.187875 -1.71805848 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi14 2 14
C 1 -1.187875 -1.61988371 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi15 2 15
C 1 -1.187875 -1.52170894 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi16 2 16
C 1 -1.187875 -1.42353417 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi17 2 17
C 1 -1.187875 -1.3253594 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi18 2 18
C 1 -1.187875 -1.22718463 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi19 2 19
C 1 -1.187875 -1.12900986 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi20 2 20
C 1 -1.187875 -1.03083509 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi21 2 21
C 1 -1.187875 -0.93266032 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi22 2 22
C 1 -1.187875 -0.83448555 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi23 2 23
C 1 -1.187875 -0.73631078 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi24 2 24
C 1 -1.187875 -0.63813601 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi25 2 25
C 1 -1.187875 -0.53996124 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi26 2 26
C 1 -1.187875 -0.44178647 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi27 2 27
C 1 -1.187875 -0.3436117 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi28 2 28
C 1 -1.187875 -0.24543693 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi29 2 29
C 1 -1.187875 -0.14726216 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi30 2 30
C 1 -1.187875 -0.04908739 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi31 2 31
C 1 -1.187875 0.04908739 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi32 2 32
C 1 -1.187875 0.14726216 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi33 2 33
C 1 -1.187875 0.24543693 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi34 2 34
C 1 -1.187875 0.3436117 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi35 2 35
C 1 -1.187875 0.44178647 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi36 2 36
C 1 -1.187875 0.53996124 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi37 2 37
C 1 -1.187875 0.63813601 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi38 2 38
C 1 -1.187875 0.73631078 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi39 2 39
C 1 -1.187875 0.83448555 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi40 2 40
C 1 -1.187875 0.93266032 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi41 2 41
C 1 -1.187875 1.03083509 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi42 2 42
C 1 -1.187875 1.12900986 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi43 2 43
C 1 -1.187875 1.22718463 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi44 2 44
C 1 -1.187875 1.3253594 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi45 2 45
C 1 -1.187875 1.42353417 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi46 2 46
C 1 -1.187875 1.52170894 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi47 2 47
C 1 -1.187875 1.61988371 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi48 2 48
C 1 -1.187875 1.71805848 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi49 2 49
C 1 -1.187875 1.81623325 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi50 2 50
C 1 -1.187875 1.91440802 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi51 2 51
C 1 -1.187875 2.01258279 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi52 2 52
C 1 -1.187875 2.11075756 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi53 2 53
C 1 -1.187875 2.20893233 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi54 2 54
C 1 -1.187875 2.3071071 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi55 2 55
C 1 -1.187875 2.40528188 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi56 2 56
C 1 -1.187875 2.50345665 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi57 2 57
C 1 -1.187875 2.60163142 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi58 2 58
C 1 -1.187875 2.69980619 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi59 2 59
C 1 -1.187875 2.79798096 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi60 2 60
C 1 -1.187875 2.89615573 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi61 2 61
C 1 -1.187875 2.9943305 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi62 2 62
C 1 -1.187875 3.09250527 0.00325 0.09817477 1500 1596.0 layer1_eta2_phi63 2 63
C 1 -1.184625 -3.09250527 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi0 3 0
C 1 -1.184625 -2.9943305 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi1 3 1
C 1 -1.184625 -2.89615573 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi2 3 2
C 1 -1.184625 -2.79798096 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi3 3 3
